Brand & Model,Bike Type,Engine Displacement (CC),Weight (Kerb weight in kg),Seat Height (mm),Target Rider Profile,Image URL,Associated Tag Keywords
VOGE SR4 Max,Maxi Scooter,349.8,213,761,"A premium maxi-scooter offering a blend of comfort, performance, and cutting-edge technology. Ideal for urban commuting and highway cruising, with advanced features like heated grips/seat, electric windshield, and dashcam. Suitable for riders seeking a luxurious and versatile two-wheeled experience.",https://imgd.aeplcdn.com/664x374/n/cw/ec/1/versions/--standard1739253475076.jpg?q=80,"premium, maxi-scooter, urban, commuter, touring, technology, advanced features, comfortable, versatile, heavy, stable, powerful"
VOGE SR1 ADV,Adventure Scooter,124.9,133,775,"An economical, comfortable, and quality urban transportation solution with an adventurous flair. Features dual-channel ABS, TCS, Keyless start, and a dash cam. Perfect for daily commutes and light exploration, offering great maneuverability and modern safety features. Accessible for beginners.",https://files.websitebuilder.prositehosting.co.uk/73/2c/732cd258-5319-4706-b577-57e21973192d.jpg,"economical, comfortable, urban, commuter, adventure scooter, beginner-friendly, maneuverable, safe, technology, light, versatile"
Honda CBR600RR,Sportbike,599,193,820,"An exhilarating sportbike perfect for adventurous, risk-taking, and cool girls who crave high performance and precise control. Ideal for confident riders seeking a dynamic and thrilling experience on both road and track, with a focus on sharp aesthetics and cutting-edge technology.",https://upload.wikimedia.org/wikipedia/commons/6/64/2006HondaCBR600RR-001.jpg,"sportbike, high-performance, adventurous, thrilling, track, road, control, technology, racing, dynamic, aesthetics, tall-friendly"
Yamaha MT-09,Hyper Naked,890,189,825,"A dynamic and aggressive hyper-naked bike, ideal for adventurous, risk-taking, and cool girls who seek an exhilarating ride with strong torque and sharp handling. Its bold styling and engaging performance make it perfect for confident riders who want to stand out and dominate urban streets or winding roads.",https://upload.wikimedia.org/wikipedia/commons/c/c3/Yamaha_MT-09.jpg,"hyper-naked,dynamic,aggressive,urban,thrilling,bold,adventurous,risk-taking,cool,powerful,confident"
Triumph Bonneville Bobber,Cruiser,1200,251,690,"An iconic, minimalist bobber designed for riders of all genders who appreciate bold custom styling, a comfortable low-slung riding position, and exhilarating torque delivery. Ideal for those seeking a distinctive, authentic motorcycle experience with a strong road presence, suitable for cruising and making a statement.","https://c.ndtvimg.com/2024-12/gqpf6ks8_triumph-bonneville-bobber-tfc_625x300_11_December_24.jpg?im=FaceCrop,algorithm=dnn,width=1200,height=738","cruiser, bobber, custom, low-height, comfortable, stylish, powerful, heavy, distinctive, statement"
AIMA Luna,Electric Scooter,N/A,75,N/A,"An ideal electric scooter for riders seeking a calm, innocent, and low-risk daily commute. Perfect for urban environments, offering easy maneuverability, quiet operation, and eco-friendly transportation. Suitable for those prioritizing convenience, comfort, and a relaxed ride without the need for high speeds or aggressive handling.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnCVJrP0LRqoTZeA_bduys9eztMYMBpn2B4w&s,"electric,scooter,urban,commuter,eco-friendly,calm,innocent,easy-to-ride,practical,comfortable,low-risk"
Royal Enfield Classic 350,Cruiser,349,195,805,"An iconic and timeless cruiser, appealing to a wide range of riders including men, women, and beginners, who appreciate classic aesthetics, a comfortable upright riding position, and a distinctive thumping exhaust note. Ideal for relaxed city rides, leisurely highway cruising, and building a strong connection with their motorcycle.","https://imgcdn.oto.com/large/gallery/exterior/100/1536/royal-enfield-classic-350-slant-rear-view-full-image-558019.jpg","classic,retro,cruiser,comfortable,iconic,heritage,beginner-friendly,relaxed,stylish,distinctive,broad-appeal"
Jawa 42,Standard,294.72,182,788,"A stylish modern-classic motorcycle perfect for riders of all genders who appreciate a blend of retro charm and contemporary performance. Its nimble handling makes it ideal for urban commuting and casual rides, offering a comfortable and engaging experience for daily use and weekend leisure.",https://cdn.bikedekho.com/processedimages/jawa-motorcycles/jawa-42/source/jawa-4266bb5c84430c9.jpg,"modern-classic,retro,urban,nimble,stylish,versatile,comfortable,daily-rider,accessible,engaging"
River Indie,Electric Scooter,N/A,143,770,"A robust and practical electric scooter, ideal for a wide range of riders, including men, women, and families, who prioritize utility, ample storage, and comfortable urban commuting. Its unique design, strong build, and generous space make it perfect for daily errands, carrying groceries, or relaxed city rides.",https://static.toiimg.com/thumb/103882675/103882675.jpg?height=746&width=420&resizemode=76&imgsize=81082,"electric,scooter,utility,practical,spacious,urban,comfortable,eco-friendly,versatile,modern,daily-rider"
Evoke Motorcycles 6061-GT,Electric Grand Tourer,N/A,320,740,"An advanced electric grand tourer designed for riders of all genders seeking long-distance electric travel with high performance, cutting-edge technology, and quick charging. Ideal for those who value extensive range, impressive speed, and a sleek, modern electric riding experience for touring or spirited commutes.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcKtmbEDPwZZMPLjja3BXiTw2RMLaiA19gGQ&s,"electric,grand-tourer,long-range,high-performance,fast-charging,modern,touring,tech-advanced,premium,powerful,sustainable,versatile"
Revolt RV400,Electric Motorcycle,N/A,108,814,"A smart and agile electric motorcycle, ideal for a wide range of urban riders including men and women who seek an eco-friendly, low-maintenance, and tech-savvy commuting solution. Perfect for daily city rides, offering quiet operation, instant torque, and connected features for a modern riding experience.",https://cdn.bikedekho.com/processedimages/revolt/rv400-brz/source/rv400-brz65b8c52d0855a.jpg?imwidth=880,"electric,urban,commuter,smart,eco-friendly,modern,low-maintenance,practical,connected,agile"
TVS Zeppelin,Cruiser (Concept),220,168,760,"A stylish and modern cruiser concept, designed for a wide audience including men and women who appreciate a futuristic aesthetic combined with comfortable, relaxed riding. Ideal for urban cruising and making a statement, representing a vision for the next-generation cruiser segment.",https://www.bikesmedia.in/uploads/image/reviews/2018/july/tvs-zeppelin-concept-cruiser-motorcycle.jpg,"cruiser,concept,stylish,modern,urban,relaxed,futuristic,unique,leisure"
Leader Lady Star Breeze 26T,Bicycle,N/A,15,N/A,"Designed specifically for women and girls, this single-speed bicycle is ideal for calm, leisurely rides and urban commuting. It offers a comfortable, accessible experience for those seeking simple, low-risk transportation or gentle exploration, with features like a front basket and integrated carrier for practicality.",https://www.livemint.com/lm-img/img/2024/01/25/1600x900/bicycle_for_women_1706166430178_1706166448750.jpg,"bicycle,women's-bike,girls-bike,commuter,city-bike,leisure,calm,innocent,low-risk,practical,comfortable,single-speed,accessible,urban"
Hero Splendor Plus,Commuter Motorcycle,97.2,112,785,"A highly reliable and fuel-efficient commuter motorcycle, perfect for daily urban and semi-urban travel. Ideal for a wide range of riders, including beginners, men, and women, who prioritize practicality, low maintenance, and cost-effective transportation for work, errands, or general utility.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy6ocVeA69OglFmH3lgXU95CpQxHeCTUHxYQ&s,"commuter,reliable,fuel-efficient,affordable,low-maintenance,daily-rider,practical,urban,basic,economical,accessible"
KTM RC 390,Sportbike,373.27,172,824,"An aggressive and track-ready sportbike, ideal for riders of all genders who seek high performance, agile handling, and a thrilling experience. Perfect for enthusiasts who enjoy spirited riding, whether on twisty roads or at the racetrack, and appreciate cutting-edge technology and a powerful single-cylinder engine.",https://i.pinimg.com/736x/c5/ef/da/c5efda89d93944daa250a224a410f86a.jpg,"sportbike,performance,agile,track-ready,aggressive,powerful,nimble,dynamic,thrilling,enthusiast,tech-advanced"
TVS XL 100,Moped,99.7,89,770,"A robust and highly practical moped, ideal for a very wide range of riders, including men, women, and small business owners, who prioritize utility, load-carrying capacity, and extreme fuel efficiency. Perfect for daily commutes, rural travel, and transporting goods with utmost ease and affordability.",https://imgcdn.oto.com/large/gallery/exterior/81/2715/tvs-xl-100-slant-front-view-full-image-230381.jpg,"moped,utility,practical,affordable,reliable,fuel-efficient,daily-use,load-carrying,urban,rural,versatile,economical"
Royal Enfield Continental GT 650,Cafe Racer,648,202,793 or 804,"An iconic and stylish cafe racer, perfect for riders of all genders who appreciate classic aesthetics, engaging performance, and a distinctive parallel-twin engine. Ideal for spirited city rides, weekend cruising, and those looking for a motorcycle that stands out with its authentic retro-sporty appeal.",https://cdn.bikedekho.com/processedimages/royal-enfield/continental-gt-650/source/continental-gt-650641562f366c8a.jpg?imwidth=880,"cafe-racer,classic,retro,sporty,engaging,twin-cylinder,enthusiast,stylish,performance,authentic,urban,cruising"
Kids' Electric Scooter,Kids' Electric Scooter,N/A,15,N/A,"A playful and safe electric scooter designed for very young children, offering a fun and low-speed introduction to two-wheeled (or three-wheeled) mobility. Ideal for gentle outdoor play, building coordination, and providing an innocent, low-risk riding experience under supervision.",https://www.patoys.in/cdn/shop/files/patoys-kids-vespa-activa-type-electric-scooter-2-5-years-ride-on-patoys-hlw-8188-288909.jpg?v=1742745401&width=1445,"kids-electric-scooter,child-friendly,toy,electric,scooter,low-speed,safe,fun,beginner,play,tricycle"
TVS Jupiter,Scooter,109.7,107,765,"A comfortable and practical scooter, highly recommended for girls and women seeking an easy-to-ride, stylish, and reliable urban commuter. It offers smooth handling, good mileage, and ample storage, making it perfect for daily commutes, errands, and leisure rides with effortless convenience.",https://cdn.bikedekho.com/processedimages/tvs/jupiter/source/jupiter67c6a80ab9572.jpg?imwidth=880,"scooter,comfortable,easy-to-ride,stylish,urban,commuter,practical,accessible,fuel-efficient,smooth-ride"
Honda Activa 6G,Scooter,109.51,106,765,"A ubiquitous and highly reliable scooter, perfect for a wide range of riders including men, women, and beginners, who seek an effortless, fuel-efficient, and low-maintenance solution for daily urban commuting and errands. Its ease of use and practicality make it a staple for general utility.",https://auto.hindustantimes.com/cms-images/honda_activa6g/images/exterior_honda-activa6g_front-left-view_600x400.jpg,"scooter,commuter,reliable,fuel-efficient,easy-to-ride,urban,practical,accessible,unisex,beginner-friendly,low-maintenance"
Suzuki Access 125,Scooter,124,103,773,"A highly reliable and comfortable scooter, perfect for a wide range of riders including men, women, and families, who seek a smooth and practical solution for daily urban commuting and errands. Its peppy engine and comfortable ergonomics make it ideal for navigating city traffic with ease.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9wb-G_Spv1Ngvr4YhkCAOpJb1P2Zumw6-Ow&s,"scooter,commuter,reliable,comfortable,urban,practical,accessible,unisex,family,smooth"
TVS Ntorq 125,Sporty Scooter,124.8,118,770,"A dynamic and tech-savvy sporty scooter, ideal for young riders of all genders who seek a thrilling yet practical urban commute. Its peppy performance, aggressive styling, and smart connectivity features make it perfect for navigating city streets with flair and modern convenience.",https://5.imimg.com/data5/SELLER/Default/2024/8/446211888/FG/DL/UI/46125995/tvs-apache-rtr-160-500x500.jpg,"scooter,sporty,smart,connected,urban,commuter,performance,tech-savvy,youth,agile,stylish"
Bajaj Pulsar 150,Commuter Motorcycle,149.5,148,785,"A popular and sporty commuter motorcycle, ideal for young riders of all genders who seek a blend of performance, style, and reliability for daily urban travel and occasional longer rides. Its aggressive stance and powerful engine make it a thrilling yet practical choice for an engaging riding experience.",https://cdn.bikedekho.com/processedimages/bajaj/bajaj-pulsar-150/source/bajaj-pulsar-150683045253e8c4.jpg,"commuter,sporty,performance,reliable,youth,urban,stylish,daily-rider,powerful,aggressive,versatile"
TVS Apache RTR 160 4V,Naked Sport,159.7,146,800,"A dynamic and aggressively styled naked sport motorcycle, ideal for young riders of all genders who seek thrilling performance and sharp handling for both urban commutes and spirited weekend rides. Its race-derived features and refined engine make it perfect for enthusiasts craving an engaging and stylish two-wheeler.",https://imgd.aeplcdn.com/1056x594/n/cw/ec/97549/right-side-view.jpeg?q=80,"naked-sport,sporty,performance,aggressive,youth,enthusiast,thrilling,stylish,urban,commuter,agile"
Yamaha FZ-S FI V3,Naked Commuter,149,135,790,"A stylish and comfortable naked commuter motorcycle, ideal for riders of all genders who seek a refined, fuel-efficient, and easy-to-handle bike for daily urban travel. Its smooth performance and appealing design make it a great choice for both practical commuting and enjoyable leisure rides.",https://cdn.bikedekho.com/processedimages/yamaha/fzs-fi-v3-bs6/source/fzs-fi-v3-bs664e054df9e8f2.jpg?imwidth=880,"naked-commuter,stylish,comfortable,fuel-efficient,urban,refined,daily-rider,versatile,unisex,easy-to-ride"
Royal Enfield Meteor 350,Cruiser,349,191,765,"A comfortable and accessible cruiser motorcycle, perfect for riders of all genders seeking a relaxed and enjoyable riding experience for urban commuting, highway cruising, or leisurely tours. Its classic styling, smooth engine, and comfortable ergonomics make it an ideal choice for a stress-free and stylish journey.",https://cdn.bikedekho.com/processedimages/royal-enfield/meteor/source/meteor6030d40bd776d.jpg,"cruiser,classic,retro,comfortable,relaxed,urban,touring,accessible,modern-classic,stylish,smooth-ride"
Jawa Standard,Modern Classic,294.72,172,765,"An iconic and stylish modern classic motorcycle, perfect for riders of all genders who appreciate a blend of retro charm and contemporary performance. Its comfortable ergonomics and distinctive design make it ideal for urban cruising, leisurely rides, and those who desire a unique and authentic two-wheeled experience.",https://cdn.bikedekho.com/processedimages/jawa-motorcycles/jawa-300/source/jawa-300667d0aa83be20.jpg,"classic,retro,modern-classic,standard,stylish,unique,comfortable,urban,leisure,authentic,accessible"
Bajaj Dominar 400,Power Cruiser,373.3,193,800,"A powerful and muscular power cruiser, ideal for riders of all genders who seek strong performance, comfortable long-distance touring capabilities, and an aggressive stance. Perfect for highway cruising, spirited rides, and commanding presence on the road for experienced and enthusiast riders.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuuLDlWpF9qdmryF6SeCbMtRjr2qYruq8-iw&s,"power-cruiser,sport-tourer,naked,powerful,touring,highway,aggressive,comfortable,versatile,robust,enthusiast"
KTM 200 Duke,Naked Sport,199.5,159,822,"An aggressive and agile naked sport motorcycle, perfect for young and enthusiastic riders of all genders who crave exhilarating performance and sharp handling for urban adventures and spirited rides. Its distinctive styling and potent engine make it a thrilling choice for those seeking a high-energy two-wheeled experience.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtBqbxL_xX16BAnT7O23Tq4aEXF7OHJZvzTA&s,"naked-sport,streetfighter,aggressive,agile,performance,youthful,thrilling,urban,enthusiast,nimble,stylish"
Ola S1 Pro,Electric Scooter,N/A,125,792,"A futuristic and smart electric scooter, ideal for tech-savvy and environmentally conscious urban riders of all genders who seek a powerful, long-range, and silent commuting solution. Its advanced features, quick acceleration, and sleek design make it perfect for a modern, convenient, and eco-friendly ride.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2sjMw0cSN3rIbXvpwvsfVv7At9gPev9FpVg&s,"electric-scooter,EV,smart,connected,urban,eco-friendly,modern,performance,futuristic,silent,convenient,long-range"
