User_Description_Input,Target_Bike_Type_Keywords,Target_Tag_Keywords,Target_Weight_Profile_Keywords,Target_Height_Profile_Keywords,Target_Primary_Use_Keywords,Target_Riding_Style_Keywords
I dream of a stylish and super comfortable ride perfect for gliding through the city. I m a bit more on the relaxed side loving my personal space and not looking for extreme adventures.,"Maxi Scooter,premium,scooter,urban,comfortable,tech-advanced,versatile","Relaxed,Easygoing,Calm & Collected",Moderate-weight,Standard-height,"City streets,Quiet Suburban roads","Leisure,Daily commute,Smooth,Comfortable"
I m a modern individual who appreciates comfort and smart features in everything. My ideal ride is chic keeps me in my zone and handles city life with ease. Color is important!,"Maxi Scooter,premium,scooter,urban,comfortable,tech-advanced,versatile","Tech-Savvy & Modern,Calm & Collected,Social & Outgoing",Moderate-weight,Standard-height,City streets,"Daily commute,Leisure,Smooth,Convenient"
I m a woman who loves to feel pampered and comfortable on the go. My dream two-wheeler is elegant offers a smooth ride and is perfect for casual outings with friends maybe by the beach.,"Maxi Scooter,premium,scooter,urban,comfortable,versatile","Relaxed,Easygoing,Calm & Collected,Social & Outgoing",Moderate-weight,Standard-height,Beach & Coastal roads,"City streets,Leisure,Smooth,Comfortable"
I m not a risk-taker but I enjoy exploring new cafes and boutiques in the city. My ideal ride is stable technologically advanced and keeps me feeling safe and in control.,"Maxi Scooter,premium,scooter,urban,comfortable,tech-advanced","Relaxed,Easygoing,Calm & Collected,Practical & Efficient",Moderate-weight,Standard-height,City streets,"Daily commute,Smooth,Safe"
My dream ride is all about comfort and looking good without being flashy. I m a bit of a lazy person when it comes to effort so an effortless luxurious scooter would be perfect for my urban lifestyle.,"Maxi Scooter,premium,scooter,urban,comfortable,versatile","Relaxed,Easygoing,Lazy Person,Calm & Collected",Moderate-weight,Standard-height,City streets,"Daily commute,Leisure,Smooth,Effortless"
I m an independent person who loves discovering hidden spots in the city but also enjoys the idea of light exploration beyond the usual roads. I need something easy to handle and reliable.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","Independent & Solitary,Adventurous & Risk-Taking,Practical & Efficient","Light,Easy-to-handle",Standard-height,City streets,"Leisure,Daily commute,Smooth,Versatile"
I consider myself a balanced mix of adventurous and practical. My dream ride is comfortable for daily city use but can also handle a little off-road fun. I'm a Sports Person in spirit but like convenience.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","A mix of both Adventurous & Risk-Taking,Practical & Efficient,Energetic & Sporty",Moderate-weight,Standard-height,City streets,"Quiet Suburban roads,Leisure,Daily commute,Balanced,Convenient"
I m a bit new to riding and want a bike that feels safe and modern. I m not looking for extreme adventures but I like the idea of being able to go anywhere. I prefer going alone.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features,Light,Beginner-friendly,Easy-to-handle,Accessible","Calm & Collected,Independent & Solitary,Practical & Efficient",Less weight,Less height,City streets,"Quiet Suburban roads,Leisure,Smooth,Safe"
My dream ride is something versatile that can take me to work and then for a fun spin outside the concrete jungle. I m not a lazy person but appreciate comfort and smart tech to make things easier.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","Energetic & Sporty,Tech-Savvy & Modern,Practical & Efficient",Moderate-weight,Standard-height,City streets,"Quiet Suburban roads,Leisure,Daily commute,Versatile,Comfortable"
I m someone who values efficiency and quality but also wants a touch of adventure in my life. My ideal two-wheeler is maneuverable for the city but gives me the confidence for new routes.,"Adventure Scooter,urban,commuter,economical,nimble,beginner-friendly,tech-features","Practical & Efficient,Adventurous & Risk-Taking,Calm & Collected",Moderate-weight,Standard-height,City streets,"Quiet Suburban roads,Daily commute,Smooth,Maneuverable"
I m a person no matter my height who loves lightweight travel alone. I m not into sporty rides but I absolutely adore being a beach person and exploring coastal areas comfortably.,"Adventure Scooter,Maxi Scooter,economical,nimble,beginner-friendly,comfortable,versatile,Easygoing,Coastal,Travel,Light,Nimble,Easy-to-handle,Accessible","Independent & Solitary,Relaxed",Moderate Weight,Standard-height,Leisure,"Solo-travel,Coastal roads,Errands,Daily commute,Smooth,Comfortable,Easy-to-ride"
"I m a savage risk-taking girl who thrives on adrenaline. My dream ride is all about high performance coolness and making a bold statement. I'm a true sports person, confident and commanding.","Sportbike,sporty,performance,adventurous,risk-taking,cool,bold,confident,dynamic,thrilling","Experienced-rider,Savage,Powerful,Energetic & Sporty","Light,Nimble",Tall-rider friendly,Sporty-rides,"Track-days,Open Highways,Aggressive,Sporty,Fast"
As a woman with a great physique and good height I crave an exhilarating dynamic ride. I m definitely a sports person fearless and always pushing limits. Coolness factor is essential.,"Sportbike,sporty,performance,adventurous,risk-taking,cool,bold,confident,dynamic,thrilling","Experienced-rider,Savage,Powerful,Energetic & Sporty","Light,Nimble",Tall-rider friendly,Sporty-rides,"Track-days,Open Highways,Aggressive,Sporty,Fast"
My dream bike is for a fearless risk-taking personality. I live for the thrill and speed embodying absolute coolness on the road or track. It needs to be a high-performance machine.,"Sportbike,sporty,performance,adventurous,risk-taking,cool,bold,confident,dynamic,thrilling","Experienced-rider,Savage,Powerful,Energetic & Sporty","Light,Nimble",Tall-rider friendly,Sporty-rides,"Track-days,Open Highways,Aggressive,Sporty,Fast"
I m a confident and bold individual a true sports enthusiast who loves to dominate the road. My ideal bike has cutting-edge technology and offers an incredibly thrilling experience.,"Sportbike,sporty,performance,adventurous,risk-taking,cool,bold,confident,dynamic,thrilling","Experienced-rider,Savage,Powerful,Energetic & Sporty","Light,Nimble",Tall-rider friendly,Sporty-rides,"Track-days,Open Highways,Aggressive,Sporty,Fast"
I have a great physique and love a bike that reflects my energetic and cool personality. Risk-taking is my middle name and I want a sportbike that screams performance and excitement.,"Sportbike,sporty,performance,adventurous,risk-taking,cool,bold,confident,dynamic,thrilling","Experienced-rider,Savage,Powerful,Energetic & Sporty","Light,Nimble",Tall-rider friendly,Sporty-rides,"Track-days,Open Highways,Aggressive,Sporty,Fast"
I m a dynamic individual male or female who loves the thrill of an aggressive ride and wants to stand out. My dream bike needs to be bold powerful and utterly cool.,"Hyper Naked,dynamic,aggressive,urban,thrilling,bold,adventurous,risk-taking,cool,powerful,confident",Energetic & Sporty,"Light,Nimble","Tall-rider friendly,Commanding-posture",City streets,"Open Highways,Sporty-rides,Aggressive,Sporty,Fast"
As someone who enjoys taking risks and embracing boldness I want a hyper-naked bike that offers exhilarating performance and sharp handling. Perfect for confident boys and girls.,"Hyper Naked,dynamic,aggressive,urban,thrilling,bold,adventurous,risk-taking,cool,powerful,confident","Adventurous & Risk-Taking,Energetic & Sporty","Light,Nimble","Tall-rider friendly,Commanding-posture",City streets,"Winding trails,Sporty-rides,Aggressive,Sporty,Fast"
My ideal ride is something that dominates the urban landscape and offers a truly thrilling experience. It's for the confident cool personality regardless of gender who seeks power and agility.,"Hyper Naked,dynamic,aggressive,urban,thrilling,bold,adventurous,risk-taking,cool,powerful,confident","Tech-Savvy & Modern,Energetic & Sporty","Light,Nimble","Tall-rider friendly,Commanding-posture",City streets,"Open Highways,Sporty-rides,Aggressive,Sporty"
I m an adventurous person whether male or female who loves the raw power and sharp aesthetics of a naked bike. My dream is to have a dynamic machine that handles like a dream on winding roads.,"Hyper Naked,dynamic,aggressive,urban,thrilling,bold,adventurous,risk-taking,cool,powerful,confident","Adventurous & Risk-Taking,Energetic & Sporty","Light,Nimble","Tall-rider friendly,Commanding-posture",Mountains & Winding trails,"Open Highways,Sporty-rides,Aggressive,Sporty,Dynamic"
For me coolness is key. I m a confident rider looking for an aggressive and powerful hyper-naked bike that suits both guys and girls. It has to stand out!,"Hyper Naked,dynamic,aggressive,urban,thrilling,bold,adventurous,risk-taking,cool,powerful,confident","Energetic & Sporty,Creative & Unique","Light,Nimble","Tall-rider friendly,Commanding-posture",City streets,"Sporty-rides,Aggressive,Sporty,Bold"
I m an adventurous and slightly crazy individual who wants an iconic bike with a savage edge. My dream ride is bold has a powerful presence and is perfect for making a statement.,"Cruiser,classic,custom,iconic,stylish,unique,comfortable,low-slung,powerful,distinctive,authentic,bold","Adventurous & Risk-Taking,Savage,Crazy,Energetic & Sporty,Robust",Stable weight,Low-height,Accessible,"Open Highways,Leisure,Cruising,Aggressive,Bold,Dominating"
For me it s about being crazy and having an authentic powerful ride that truly stands out. I m a savage at heart and I want a low-slung comfortable bike for commanding the road.,"Cruiser,classic,custom,iconic,stylish,unique,comfortable,low-slung,powerful,distinctive,authentic,bold","Adventurous & Risk-Taking,Savage,Crazy,Energetic & Sporty,Robust",Stable weight,Low-height,Accessible,"Open Highways,Leisure,Cruising,Aggressive,Bold,Confident"
I m an adventurous soul seeking a distinctive custom-styled bike that screams savage. I appreciate classic looks but demand a powerful and thrilling presence. Perfect for my crazy adventures.,"Cruiser,classic,custom,iconic,stylish,unique,comfortable,low-slung,powerful,distinctive,authentic,bold","Adventurous & Risk-Taking,Savage,Crazy,Creative & Unique,Robust",Stable weight,Low-height,Accessible,"Open Highways,Winding roads,Cruising,Aggressive,Thrilling"
My dream ride embodies boldness and power suitable for an adventurous and confident rider. I want an iconic comfortable cruiser with a strong road presence reflecting my slightly crazy side.,"Cruiser,classic,custom,iconic,stylish,unique,comfortable,low-slung,powerful,distinctive,authentic,bold","Adventurous & Risk-Taking,Savage,Crazy,Robust",Stable weight,Low-height,Accessible,"Open Highways,Leisure,Cruising,Confident,Powerful"
I m looking for a unique custom-style bike that both comfortable and powerful. It needs to match my adventurous spirit and bold personality. The savage look is a major plus.,"Cruiser,classic,custom,iconic,stylish,unique,comfortable,low-slung,powerful,distinctive,authentic,bold","Adventurous & Risk-Taking,Savage,Crazy,Creative & Unique,Robust",Stable Weight,Low-height,Accessible,"Open Highways,Leisure,Cruising,Bold,Unique"
I m a slow driver a bit of a lazy person who loves to take things easy. My dream ride is calm low-risk and perfect for a slim person navigating urban life. Comfort is key.,"Electric Scooter,electric,scooter,urban,commuter,eco-friendly,calm,innocent,easy-to-ride,practical,comfortable,low-risk","Lazy Person,Relaxed,Easygoing","Light,Nimble",Any-height,Accessible,"Daily commute,Errands,City streets,Smooth,Comfortable,Slow-paced"
I m not into speed or risks I prefer a gentle effortless ride. My ideal two-wheeler is eco-friendly quiet and suitable for someone slim who just wants to take their time.,"Electric Scooter,electric,scooter,urban,commuter,eco-friendly,calm,innocent,easy-to-ride,practical,comfortable,low-risk","Lazy Person,Relaxed,Easygoing,Environmentally Conscious","Light,Nimble",Any-height,Accessible,"Daily commute,Errands,City streets,Smooth,Comfortable,Effortless"
My personality is very laid-back and I appreciate a bike that equally slow-paced and comfortable. I m a slim person looking for a hassle-free innocent-feeling ride for short trips.,"Electric Scooter,electric,scooter,urban,commuter,eco-friendly,calm,innocent,easy-to-ride,practical,comfortable,low-risk","Lazy Person,Relaxed,Easygoing,Calm & Collected","Light,Nimble",Any-height,Accessible,"City streets,Errands,Smooth,Comfortable,Low-risk"
I enjoy a calm and quiet life and my dream scooter reflects that. I m a bit lazy when it comes to effort so an easy-to-ride electric option is perfect for my slim build and urban needs.,"Electric Scooter,electric,scooter,urban,commuter,eco-friendly,calm,innocent,easy-to-ride,practical,comfortable,low-risk","Lazy Person,Relaxed,Easygoing,Calm & Collected","Light,Nimble",Any-height,Accessible,"Daily commute,Urban,Smooth,Convenient"
I m a relaxed individual who prioritizes comfort and an easy commute. My ideal ride is lightweight not aggressive and perfect for someone who takes everything slow in the city.,"Electric Scooter,electric,scooter,urban,commuter,eco-friendly,calm,innocent,easy-to-ride,practical,comfortable,low-risk","Lazy Person,Relaxed,Easygoing,Practical & Efficient","Light,Nimble",Any-height,Accessible,"Daily commute,City streets,Smooth,Comfortable"
I m a gym-going mountain-type person who needs a bike that cool and lives up to the hype. I appreciate classic style but want a strong distinctive presence for my rides.,"Cruiser,classic,retro,iconic,heritage,distinctive,stylish,broad-appeal",Robust,Stable Weight,"Commanding-posture,Tall-friendly",Open Highways,"Leisure,Mountain & Winding trails,Relaxed,Confident,Bold"
My dream bike is for someone with a solid physique who loves the mountains and wants a ride that effortlessly cool and widely admired. A classic with a powerful thumping sound is ideal.,"Cruiser,classic,retro,iconic,heritage,distinctive,stylish,broad-appeal",Robust,Stable Weight,"Commanding-posture,Tall-friendly",Open Highways,"Leisure,Mountain & Winding trails,Relaxed,Confident,Powerful"
I consider myself adventurous a bit of a mountain person and I want a bike that truly feels worth the hype. A timeless design combined with a robust feel and distinct character is what I seek.,"Cruiser,classic,retro,iconic,heritage,distinctive,stylish,broad-appeal","Adventurous & Risk-Taking,Robust",Stable Weight,"Commanding-posture,Tall-friendly",Open Highways,"Mountain & Winding trails,Leisure,Relaxed,Authentic"
I m a cool individual strong in spirit looking for a bike that has heritage and a commanding road presence. Something reliable for leisurely trips with a classic rugged charm.,"Cruiser,classic,retro,iconic,heritage,distinctive,stylish,broad-appeal","Calm & Collected,Robust",Stable Weight,"Commanding-posture,Tall-friendly",Open Highways,"Leisure,Quiet Suburban roads,Relaxed,Confident"
For the gym-goer who appreciates a bike that both classic and a bit wild. I want a cool dependable ride for long journeys something that truly iconic and distinctive.,"Cruiser,classic,retro,iconic,heritage,distinctive,stylish,Broad-appeal","Energetic & Sporty,Robust",Stable Weight,"Commanding-posture,Tall-friendly",Open Highways,"Long trips/Touring,Relaxed,Bold"
I m looking for a stylish modern-classic bike that versatile for both city and casual rides. I m open to colors as long as it not red and I want something comfortable for everyday use.,"Standard,modern-classic,retro,urban,nimble,stylish,versatile,comfortable,daily-rider,accessible,engaging","Calm & Collected,Practical & Efficient,Open-minded",Moderate-weight,Standard-height,Daily commute,"Urban,Casual rides,Leisure,Smooth,Comfortable"
My dream motorcycle blends retro charm with modern performance suitable for any gender. I need nimble handling for urban areas and prefer any color that isnt red. An engaging daily rider is key.,"Standard,modern-classic,retro,urban,nimble,stylish,versatile,comfortable,daily-rider,accessible,engaging","Tech-Savvy & Modern,Practical & Efficient,Open-minded",Moderate-weight,Standard-height,Daily commute,"Urban,Casual rides,Leisure,Smooth,Engaging"
I want a comfortable and versatile bike for daily use and weekend leisure. Its classic look with contemporary feel appeals to me and I m a person who likes colors other than red.,"Standard,modern-classic,retro,urban,nimble,stylish,versatile,comfortable,daily-rider,accessible,engaging","Calm & Collected,Relaxed,Easygoing,Open-minded",Moderate-weight,Standard-height,Daily commute,"Casual rides,Leisure,Smooth,Comfortable"
As a rider who enjoys an engaging experience in the city I m drawn to bikes with a distinctive modern-classic style. I m a boy/girl looking for a nimble ride and I like a color that stands out not red.,"Standard,modern-classic,retro,urban,nimble,stylish,versatile,comfortable,daily-rider,accessible,engaging","Creative & Unique,Social & Outgoing,Open-minded",Moderate-weight,Standard-height,Daily commute,"Urban,Casual rides,Leisure,Smooth,Engaging"
My dream bike is effortlessly stylish offers comfortable handling for daily commutes and is perfect for both men and women. I m really open to colors just not a fan of red.,"Standard,modern-classic,retro,urban,nimble,stylish,versatile,comfortable,daily-rider,accessible,engaging","Calm & Collected,Practical & Efficient,Open-minded",Moderate-weight,Standard-height,Daily commute,"Urban,Smooth,Comfortable"
I m a slow driver who enjoys leisurely rides either by myself or with a close friend. My dream electric scooter needs to be practical spacious and perfect for urban commuting and errands.,"Electric Scooter,electric,scooter,utility,practical,spacious,urban,comfortable,eco-friendly,versatile,modern,daily-rider","Lazy Person,Relaxed,Easygoing,Independent & Solitary,Social & Outgoing",Moderate-weight,Standard-height,Daily commute,"Errands,Casual rides,City streets,Smooth,Comfortable,Slow-paced"
I prioritize convenience and comfort for my daily travel. I m a relaxed person who enjoys going on drives sometimes solo sometimes with just one friend. A robust electric scooter with ample storage is my ideal.,"Electric Scooter,electric,scooter,utility,practical,spacious,urban,comfortable,eco-friendly,versatile,modern,daily-rider","Lazy Person,Relaxed,Easygoing,Independent & Solitary,Social & Outgoing",Moderate-weight,Standard-height,Daily commute,"Errands,Casual rides,City streets,Smooth,Comfortable,Convenient"
My dream ride is a practical electric scooter great for city use and has enough space for groceries or essentials. I m a slow driver and prefer quiet eco-friendly journeys alone or with a partner.,"Electric Scooter,electric,scooter,utility,practical,spacious,urban,comfortable,eco-friendly,versatile,modern,daily-rider","Lazy Person,Relaxed,Easygoing,Environmentally Conscious,Independent & Solitary,Social & Outgoing",Moderate-weight,Standard-height,Daily commute,"Errands,City streets,Smooth,Quiet,Eco-friendly"
For someone who likes to take things slow and easy a versatile electric scooter is perfect. I need something practical for urban drives whether I m alone or riding with a single friend.,"Electric Scooter,electric,scooter,utility,practical,spacious,urban,comfortable,eco-friendly,versatile,modern,daily-rider","Lazy Person,Relaxed,Easygoing,Practical & Efficient,Independent & Solitary,Social & Outgoing",Moderate-weight,Standard-height,Daily commute,"City streets,Casual rides,Smooth,Easy-to-ride"
I m a dynamic individual a heavy driver who spends a lot of time on the road. My dream bike is an electric grand tourer with high performance cutting-edge tech and a powerful modern feel.,"Electric Grand Tourer,electric,long-range,high-performance,fast-charging,modern,touring,tech-advanced,premium,powerful,sustainable,versatile","Energetic & Sporty,Tech-Savvy & Modern,Adventurous & Risk-Taking,Robust",Stable Weight,"Any-height,Commanding-posture",Long trips/Touring,"Open Highways,Spirited commutes,Aggressive,Dynamic,Fast"
As a rider who values extensive range and impressive speed I need a powerful and sleek electric motorcycle. I m a dynamic person who thrives on cutting-edge technology and long-distance travel.,"Electric Grand Tourer,electric,long-range,high-performance,fast-charging,modern,touring,tech-advanced,premium,powerful,sustainable,versatile","Energetic & Sporty,Tech-Savvy & Modern,Adventurous & Risk-Taking,Robust",Stable Weight,"Any-height,Commanding-posture",Long trips/Touring,"Open Highways,Spirited commutes,Aggressive,Dynamic,Fast"
My dream ride is for a heavy driver who is always on the go. An advanced electric grand tourer with quick charging and a robust build is essential for my dynamic lifestyle and adventurous spirit.,"Electric Grand Tourer,electric,long-range,high-performance,fast-charging,modern,touring,tech-advanced,premium,powerful,sustainable,versatile","Adventurous & Risk-Taking,Practical & Efficient,Energetic & Sporty,Robust",Stable Weight,"Any-height,Commanding-posture","Long trips/Touring,Open Highways","Spirited commutes,Dynamic,Reliable"
